Date,wind_10m,specific_humidity,LW_down,SW_down,rainfall,snowfall,sosaline,sst,t2m,surface_pressure,sea_ice_extent
1986-01,5.362961427412958,0.7840388308445745,184.01256910558538,3.2707342018799928,1.0152410632128226,0.8595695714891818,33.37950189713398,273.3287314405999,249.5033085894286,981.3514590270191,15119253.0
1986-02,5.325249645715525,0.8679569068231514,190.64309781303206,19.22823851715617,0.9193602688009659,0.7998527155921737,33.39284669817186,273.2417569925962,252.3575829240776,985.5223561661594,15987907.0
1986-03,5.5113052735581025,1.0169666578008687,192.87883170558302,69.03338719138841,1.013340342486005,0.7940621177695111,33.3869587330173,273.2018541486214,253.85021808249695,975.7364740043246,16163104.0
1986-04,5.190024336987992,1.3024094196150253,216.73288643112974,154.98880963554066,1.028777399799319,0.8454879061240687,33.35710653580659,273.21540382736146,260.50642446270405,984.6907757579994,15228300.0
1986-05,4.66399625672345,2.3079192497826404,258.73940015160787,225.040295282675,1.1138492924636285,0.6382209248333609,33.30080508138496,273.6642161870241,269.85548151369915,983.4670703894279,13545526.0
1986-06,4.615974557399956,3.7678281574003147,288.3290772994672,246.84065467047566,1.434790383025557,0.4245662558865064,33.237111039916414,274.55581959102017,276.7979679353672,978.9746822577127,12139090.0
1986-07,4.372295876900613,4.9163346454624195,307.73009868017385,200.6399531790502,1.7971730360159113,0.23877622268945078,33.144882786307,276.126732226362,279.5907223215935,981.2758992340852,10496259.0
1986-08,4.61738891362618,4.364169797609801,300.334316494893,134.39984916541877,1.9525812775904585,0.39997064930784454,33.08926352804475,276.97345277576625,277.94042334911535,981.8368740313546,8044575.0
1986-09,5.045305840632405,3.0864547835678295,274.76046349323855,71.60968209238779,1.9198153080198064,0.8228543020572602,33.111806452524235,276.26834523263057,272.7287408446486,980.5541673267387,7553857.0
1986-10,5.493074684142738,1.9831235742336555,242.0643719281103,25.509108392426207,1.6629217609995952,1.049696188819993,33.17801217968202,274.81445789147864,264.7576558671983,976.4618806298718,9922179.0
1986-11,5.261228159398214,1.34374881698346,216.38552038380342,4.9151375181544745,1.3901538083225253,0.9870845477014999,33.262558463592434,274.033768467232,257.69246215462374,979.2758535246072,11811566.0
1986-12,5.628933401003582,0.9170974778920601,191.31979546357277,1.1643878039986146,1.20400586239117,0.959969463540643,33.32144932271321,273.55308382123906,251.97156846037814,977.5793440243119,13456959.0
1987-01,5.73433508700946,0.8397378971167099,187.84822057454392,3.2108177125296593,1.1440462669431941,0.9517925148270089,33.34862033997636,273.30973928075184,250.31784171531058,979.6893542278644,15277015.0
1987-02,5.189480025414409,0.7655095100086029,182.5371169511991,18.342034168053576,0.9370827841748175,0.7953739412821775,33.35645123886366,273.1629040170592,249.4819855417483,983.9932221369952,16209585.0
1987-03,5.411739874451995,0.9199517866473139,190.62812806242246,69.54778011455798,0.9216343103947388,0.7396299210188204,33.36426041159323,273.12825621154553,253.36213591771056,987.1648502196502,16017587.0
1987-04,5.179951594852394,1.3207142572766033,215.13625205721127,157.39180361602544,0.9378095706030265,0.7287853894054364,33.3423493960562,273.1884824756862,260.08630811594367,982.7866115918234,15384298.0
